Case ID,CM,DTA,KP,KPT,NB
1,-2,0,1,-1,-1
2,-1,1,1,-1,1
3,1,1,1,-1,1
4,0,-1,0,0,-1
5,0,-1,-1,0,-2
6,1,1,0,0,1
7,-1,-1,-1,0,-1
8,1,1,1,0,0
9,1,1,1,1,1
10,0,1,0,1,1
11,1,1,1,0,1
12,0,0,-1,-1,-1
13,0,-1,1,0,-2
14,-1,1,0,-1,0
15,-1,-1,-2,0,-1
16,0,-1,-1,1,-1
17,-1,0,1,1,-1
18,-2,0,-1,0,-2
19,-1,-2,-1,1,-2
20,1,-1,-1,1,-1
21,0,-1,-1,-1,-1
22,-1,-2,0,0,-1
23,-1,1,1,1,1
24,-1,-1,0,0,0
25,0,-1,-1,0,-1
26,1,1,0,0,1
27,1,1,1,-1,1
28,-1,1,1,0,-1
29,1,1,1,-1,1
30,0,1,1,-1,1
31,1,0,1,1,-1
32,0,-1,-1,1,-1
33,0,1,1,0,1
34,0,1,1,0,-1
35,1,0,0,-1,1
36,0,-1,0,1,-1
37,-1,0,1,0,-1
38,0,-1,-1,1,-1
39,1,-1,-2,-1,1
40,0,-1,-1,0,-1
41,-1,1,-2,-2,0
42,1,-1,0,0,-1
43,-2,-1,-1,1,-1
44,-2,-3,-1,1,-1
45,0,1,1,1,-1
46,-1,-1,-1,0,-1
47,1,1,1,0,1
48,0,-1,-1,1,-1
49,1,1,0,-1,1
50,1,1,0,1,1
51,-1,-1,-1,-2,-1
52,0,-1,-1,0,-1
53,1,1,1,2,1
54,-1,-1,-1,0,-1
55,1,-1,-1,2,-2
56,-2,-1,-1,1,-1
57,1,0,1,1,-1
58,1,1,1,-1,1
59,0,1,1,1,1
60,-1,-1,1,0,-1
61,0,1,0,-2,0
62,1,1,0,0,1
63,-1,0,1,2,1
64,1,1,0,-1,1
65,0,1,1,-2,1
66,0,1,0,1,0
67,0,-1,-1,0,-1
68,0,1,0,-1,1
69,1,1,1,0,1
70,0,-2,-1,0,-2
71,1,1,1,-2,1
72,0,-1,0,2,-2
73,1,1,0,-1,-1
74,0,-1,0,1,0
75,-1,-1,1,1,-1
76,1,1,1,0,1
77,-1,-1,-1,-1,1
78,1,0,1,-2,1
79,-2,-1,0,-2,1
80,-1,0,-1,-1,1
81,-1,0,-1,-1,1
82,1,0,-1,0,-1
83,1,0,1,0,0
84,-1,1,-1,2,1
85,1,1,0,1,1
86,1,1,1,-1,1
87,-3,0,1,0,0
88,0,0,1,0,0
89,0,1,1,0,1
90,1,0,0,0,-2
91,-1,-1,-1,0,-1
92,0,-1,-1,0,-1
93,1,1,1,0,1
94,0,-1,1,0,1
95,0,-1,-1,1,-1
96,-1,-1,-1,-1,1
97,1,0,0,2,-1
