Case ID,CM,DTA,KP,KPT,NB
1;-1,62;0,15;1,19;-1,01;-0,62
2;-0,53;1,15;1,19;-1,01;1,14
3;1,21;1,15;1,19;-1,01;1,14
4;-0,20;-0,78;-0,49;-0,49;-0,62
5;0,35;-0,89;-0,95;-0,31;-1,54
6;1,21;1,15;0,41;-0,49;1,14
7;-0,64;-0,78;-0,95;0,04;-0,62
8;1,21;0,73;1,19;-0,49;-0,15
9;1,21;1,15;1,19;0,74;1,14
10;0,24;0,74;-0,08;1,26;0,70
11;1,21;1,15;1,19;-0,49;1,14
12;-0,20;0,15;-0,95;-1,01;-0,62
13;0,24;-0,66;1,19;0,21;-1,52
14;-1,07;0,62;-0,49;-1,18;0,32
15;-1,08;-0,78;-1,86;0,21;-1,08
16;-0,20;-0,78;-0,95;0,74;-0,62
17;-1,07;0,22;1,19;1,44;-0,62
18;-1,62;0,21;-0,95;0,04;-2,39
19;-0,75;-2,18;-1,40;0,74;-2,39
20;0,67;-0,78;-0,95;0,74;-0,62
21;-0,20;-1,19;-0,95;-1,18;-0,62
22;-1,07;-1,60;-0,49;-0,49;-0,62
23;-1,07;1,15;0,82;0,56;1,14
24;-0,75;-0,78;-0,49;0,04;-0,15
25;-0,20;-0,78;-0,95;0,04;-0,62
26;0,79;0,74;-0,04;0,04;1,14
27;1,21;1,15;1,19;-1,18;1,14
28;-1,07;1,15;1,19;-0,49;-0,62
29;1,21;1,15;1,19;-1,01;1,14
30;0,35;1,15;1,19;-1,18;1,14
31;1,21;-0,37;1,19;0,74;-0,62
32;-0,20;-0,78;-0,95;0,74;-0,62
33;-0,20;1,15;1,19;0,04;1,14
34;0,35;1,15;1,19;-0,31;-0,62
35;0,67;-0,08;-0,05;-1,01;1,14
36;-0,20;-0,77;0,32;0,74;-0,62
37;-1,07;-0,25;1,19;-0,49;-0,51
38;-0,20;-0,78;-0,95;0,74;-0,62
39;0,67;-0,78;-1,85;-1,18;0,68
40;-0,20;-0,78;-0,95;-0,49;-0,62
41;-0,75;1,15;-1,74;-1,71;-0,15
42;1,21;-0,78;-0,05;-0,49;-0,62
43;-1,62;-0,78;-0,95;0,74;-0,62
44;-1,62;-2,71;-0,95;0,74;-0,62
45;0,35;0,73;0,82;0,56;-0,62
46;-1,07;-0,78;-0,95;-0,49;-0,62
47;1,21;1,15;1,19;-0,13;1,14
48;-0,20;-0,78;-0,95;0,74;-0,62
49;1,21;0,74;0,41;-0,66;1,14
50;1,21;1,15;0,38;0,56;1,14
51;-1,18;-0,78;-0,95;-1,71;-0,62
52;-0,20;-0,78;-0,95;0,04;-0,62
53;1,21;1,15;1,19;1,96;1,14
54;-1,07;-0,78;-0,95;-0,49;-0,62
55;1,21;-0,78;-0,51;1,96;-1,91
56;-1,62;-1,19;-1,32;0,74;-0,62
57;0,67;0,33;1,19;1,26;-0,62
58;1,21;1,15;1,19;-0,66;1,14
59;0,35;1,15;0,78;0,74;1,14
60;-0,64;-0,78;1,19;-0,49;-0,62
61;0,35;1,15;-0,05;-1,71;-0,15
62;1,21;1,15;-0,49;0,04;1,14
63;-0,63;-0,37;1,19;1,96;1,14
64;1,21;1,15;-0,08;-1,18;1,14
65;0,35;1,15;1,19;-1,71;0,75
66;0,23;0,62;0,36;1,44;0,24
67;-0,20;-0,78;-0,51;-0,49;-0,62
68;-0,20;1,15;0,41;-1,18;1,14
69;0,77;1,15;0,82;0,04;0,75
70;-0,20;-1,60;-0,95;0,04;-1,91
71;1,21;1,15;1,19;-1,71;1,14
72;-0,32;-0,78;-0,04;1,96;-2,39
73;1,21;0,74;-0,49;-1,01;-0,62
74;-0,20;-0,78;-0,13;0,74;-0,19
75;-1,19;-1,48;1,19;0,74;-1,08
76;1,21;1,15;1,19;-0,49;1,14
77;-1,18;-0,78;-0,51;-1,18;0,75
78;1,21;0,33;0,82;-1,71;1,14
79;-1,62;-0,89;0,07;-1,71;1,14
80;-0,75;-0,37;-0,95;-0,66;1,14
81;-1,30;0,16;-0,95;-1,01;0,75
82;0,67;-0,25;-0,95;-0,49;-0,62
83;1,21;0,16;0,82;0,04;-0,16
84;-0,52;1,15;-0,51;1,96;1,14
85;1,21;1,15;0,34;1,44;1,14
86;1,21;0,74;0,78;-0,66;1,14
87;-3,03;-0,20;1,19;-0,49;-0,15
88;-0,20;0,16;0,82;0,04;-0,15
89;-0,20;0,74;1,19;-0,49;0,66
90;1,21;-0,25;-0,05;0,04;-1,54
91;-1,07;-0,78;-0,95;0,21;-0,62
92;-0,20;-0,78;-0,95;0,04;-0,62
93;1,21;1,15;1,19;0,04;1,14
94;-0,20;-0,78;1,19;0,04;1,14
95;-0,20;-0,78;-0,95;0,74;-0,62
96;-1,16;-0,67;-0,52;-1,18;1,14
97;1,21;0,15;-0,13;1,96;-0,62
98;0,67;0,73;-0,49;0,04;-0,62
99;-0,32;-0,37;0,32;-0,49;1,14
100;-1,62;0,73;0,82;0,04;1,14
101;1,21;0,22;-0,95;-1,18;0,75
102;-0,64;-1,07;-0,51;0,74;-0,62
103;0,67;0,57;0,75;1,96;1,14
104;-1,62;0,73;-0,01;-0,49;1,14
105;-0,20;0,21;-0,95;-1,71;1,14
106;-1,62;-2,07;-1,00;1,44;0,20
107;-2,59;-0,37;-3,95;1,96;-0,62
108;-1,18;0,21;-1,42;-0,49;-1,91
109;1,21;1,15;1,19;-1,71;1,14
110;-2,16;-0,37;-0,95;-1,18;0,32
111;-1,18;-0,78;-0,95;0,04;-1,06
112;1,21;1,15;0,82;-1,18;1,14
113;1,21;1,15;1,19;0,91;0,20
114;0,35;1,15;0,36;-1,18;1,14
115;-0,20;0,33;1,19;0,04;-1,04
116;1,21;1,15;1,19;-0,49;1,14
117;0,24;0,73;-0,51;1,44;0,20
118;-0,75;-1,60;-0,95;-0,49;0,32
119;0,35;1,15;-1,74;-1,18;1,14
120;1,21;1,15;1,19;-1,71;1,14
121;0,67;0,62;1,19;-1,18;-0,51
122;-0,20;-1,19;-0,95;0,04;-0,62
123;1,21;1,15;1,19;0,74;-0,62
124;1,21;1,15;-0,04;-1,01;-1,01
125;1,21;-0,78;0,74;-0,49;-0,62
126;1,21;1,15;-0,05;-0,49;0,32
127;-0,20;-0,61;-0,04;-0,49;1,14
128;-0,20;-0,78;-0,95;0,74;-0,62
129;-0,20;-0,78;-0,95;0,04;-1,01
130;1,21;1,15;1,19;0,74;1,14
131;1,21;1,15;0,03;-1,71;1,14
132;1,21;1,15;0,82;0,21;1,14
133;-1,62;-2,01;-0,49;0,04;-1,91
134;0,24;1,15;1,19;-1,18;1,14
135;-1,07;-1,19;-0,04;0,04;-0,62
136;-0,43;0,32;-0,05;0,56;1,14
137;1,21;-1,19;-0,95;0,56;-1,91
138;-0,20;-0,78;-0,95;0,74;-0,62
