Case ID,CM,DTA,KP,KPT,NB
1,-1.616,0.153,1.193,-1.011,-0.623
2,-0.532,1.147,1.193,-1.011,1.138
3,1.214,1.147,1.193,-1.011,1.138
4,-0.201,-0.779,-0.493,-0.486,-0.623
5;0,347;-0,891;-0,949;-0,313;-1,537
6;1,214;1,147;0,407;-0,486;1,138
7;-0,641;-0,779;-0,949;0,039;-0,623
8;1,214;0,735;1,193;-0,486;-0,145
9;1,214;1,147;1,193;0,737;1,138
10;0,239;0,740;-0,079;1,262;0,703
11;1,214;1,147;1,193;-0,486;1,138
12;-0,201;0,153;-0,949;-1,011;-0,623
13;0,239;-0,661;1,193;0,212;-1,519
14;-1,068;0,623;-0,493;-1,184;0,315
15;-1,081;-0,785;-1,861;0,212;-1,084
16;-0,201;-0,779;-0,949;0,737;-0,623
17;-1,068;0,216;1,193;1,435;-0,623
18;-1,616;0,210;-0,949;0,039;-2,385
19;-0,749;-2,181;-1,405;0,737;-2,385
20;0,666;-0,779;-0,949;0,737;-0,623
21;-0,201;-1,186;-0,949;-1,184;-0,623
22;-1,068;-1,599;-0,493;-0,486;-0,623
23;-1,068;1,147;0,820;0,564;1,138
24;-0,749;-0,779;-0,493;0,039;-0,145
25;-0,201;-0,779;-0,949;0,039;-0,623
26;0,787;0,740;-0,037;0,039;1,138
27;1,214;1,147;1,193;-1,184;1,138
28;-1,068;1,147;1,193;-0,486;-0,623
29;1,214;1,147;1,193;-1,011;1,138
30;0,347;1,147;1,193;-1,184;1,138
31;1,214;-0,372;1,193;0,737;-0,623
32;-0,201;-0,779;-0,949;0,737;-0,623
33;-0,201;1,147;1,193;0,039;1,138
34;0,347;1,147;1,193;-0,313;-0,623
35;0,666;-0,079;-0,049;-1,011;1,138
36;-0,201;-0,773;0,323;0,737;-0,623
37;-1,068;-0,254;1,193;-0,486;-0,508
38;-0,201;-0,779;-0,949;0,737;-0,623
39;0,666;-0,779;-1,848;-1,184;0,678
40;-0,201;-0,779;-0,949;-0,486;-0,623
41;-0,749;1,147;-1,735;-1,709;-0,145
42;1,214;-0,779;-0,049;-0,486;-0,623
43;-1,616;-0,779;-0,949;0,737;-0,623
44;-1,616;-2,705;-0,949;0,737;-0,623
45;0,347;0,735;0,820;0,564;-0,623
46;-1,068;-0,779;-0,949;-0,486;-0,623
47;1,214;1,147;1,193;-0,135;1,138
48;-0,201;-0,779;-0,949;0,737;-0,623
49;1,214;0,740;0,407;-0,659;1,138
50;1,214;1,147;0,377;0,564;1,138
51;-1,176;-0,779;-0,949;-1,709;-0,623
52;-0,201;-0,779;-0,949;0,039;-0,623
53;1,214;1,147;1,193;1,960;1,138
54;-1,068;-0,779;-0,949;-0,486;-0,623
55;1,214;-0,779;-0,505;1,960;-1,907
56;-1,616;-1,192;-1,321;0,737;-0,623
57;0,666;0,328;1,193;1,262;-0,623
58;1,214;1,147;1,193;-0,659;1,138
59;0,347;1,147;0,780;0,737;1,138
60;-0,641;-0,779;1,193;-0,486;-0,623
61;0,347;1,147;-0,049;-1,709;-0,145
62;1,214;1,147;-0,493;0,039;1,138
63;-0,628;-0,372;1,193;1,960;1,138
64;1,214;1,147;-0,079;-1,184;1,138
65;0,347;1,147;1,193;-1,709;0,750
66;0,226;0,623;0,364;1,435;0,243
67;-0,201;-0,779;-0,505;-0,486;-0,623
68;-0,201;1,147;0,407;-1,184;1,138
69;0,774;1,147;0,820;0,039;0,750
70;-0,201;-1,599;-0,949;0,039;-1,907
71;1,214;1,147;1,193;-1,709;1,138
72;-0,322;-0,779;-0,037;1,960;-2,385
73;1,214;0,740;-0,493;-1,011;-0,623
74;-0,201;-0,779;-0,132;0,737;-0,188
75;-1,189;-1,481;1,193;0,737;-1,084
76;1,214;1,147;1,193;-0,486;1,138
77;-1,176;-0,779;-0,505;-1,184;0,750
78;1,214;0,328;0,820;-1,709;1,138
79;-1,616;-0,891;0,075;-1,709;1,138
80;-0,749;-0,372;-0,949;-0,659;1,138
81;-1,297;0,158;-0,949;-1,011;0,750
82;0,666;-0,254;-0,949;-0,486;-0,623
83;1,214;0,158;0,820;0,039;-0,163
84;-0,520;1,147;-0,505;1,960;1,138
85;1,214;1,147;0,336;1,435;1,138
86;1,214;0,740;0,780;-0,659;1,138
87;-3,031;-0,197;1,193;-0,486;-0,145
88;-0,201;0,158;0,820;0,039;-0,145
89;-0,201;0,740;1,193;-0,486;0,660
90;1,214;-0,254;-0,049;0,039;-1,537
91;-1,068;-0,779;-0,949;0,212;-0,623
92;-0,201;-0,779;-0,949;0,039;-0,623
93;1,214;1,147;1,193;0,039;1,138
94;-0,201;-0,779;1,193;0,039;1,138
95;-0,201;-0,779;-0,949;0,737;-0,623
96;-1,164;-0,667;-0,523;-1,184;1,138
97;1,214;0,153;-0,132;1,960;-0,623
98;0,666;0,735;-0,493;0,039;-0,623
99;-0,322;-0,366;0,323;-0,486;1,138
100;-1,616;0,735;0,820;0,039;1,138
101;1,214;0,216;-0,949;-1,184;0,750
102;-0,641;-1,074;-0,505;0,737;-0,623
103;0,666;0,565;0,749;1,960;1,138
104;-1,616;0,735;-0,007;-0,486;1,138
105;-0,201;0,210;-0,949;-1,709;1,138
106;-1,616;-2,069;-1,002;1,435;0,200
107;-2,591;-0,366;-3,947;1,960;-0,623
108;-1,176;0,210;-1,417;-0,486;-1,907
109;1,214;1,147;1,193;-1,709;1,138
110;-2,164;-0,366;-0,949;-1,184;0,315
111;-1,176;-0,779;-0,949;0,039;-1,059
112;1,214;1,147;0,820;-1,184;1,138
113;1,214;1,147;1,193;0,910;0,200
114;0,347;1,147;0,364;-1,184;1,138
115;-0,201;0,328;1,193;0,039;-1,040
116;1,214;1,147;1,193;-0,486;1,138
117;0,239;0,735;-0,505;1,435;0,200
118;-0,749;-1,599;-0,949;-0,486;0,315
119;0,347;1,147;-1,735;-1,184;1,138
120;1,214;1,147;1,193;-1,709;1,138
121;0,666;0,623;1,193;-1,184;-0,508
122;-0,201;-1,192;-0,949;0,039;-0,623
123;1,214;1,147;1,193;0,737;-0,623
124;1,214;1,147;-0,037;-1,011;-1,011
125;1,214;-0,779;0,737;-0,486;-0,623
126;1,214;1,147;-0,049;-0,486;0,315
127;-0,201;-0,610;-0,037;-0,486;1,138
128;-0,201;-0,779;-0,949;0,737;-0,623
129;-0,201;-0,779;-0,949;0,039;-1,011
130;1,214;1,147;1,193;0,737;1,138
131;1,214;1,147;0,034;-1,709;1,138
132;1,214;1,147;0,820;0,212;1,138
133;-1,616;-2,011;-0,493;0,039;-1,907
134;0,239;1,147;1,193;-1,184;1,138
135;-1,068;-1,192;-0,037;0,039;-0,623
136;-0,430;0,322;-0,049;0,564;1,138
137;1,214;-1,192;-0,949;0,564;-1,907
138;-0,201;-0,779;-0,949;0,737;-0,623
139;-0,201;1,147;1,193;-1,709;1,138
140;-2,056;0,740;0,294;0,039;0,703
141;1,214;1,147;1,193;-0,486;1,138
142;-0,201;-0,779;-0,505;0,737;-0,623
143;-0,201;1,147;0,377;-0,486;-0,623
144;1,214;-1,192;-0,079;-0,486;0,315
145;-0,201;-0,079;-0,949;0,039;1,138
146;0,666;-0,661;-0,949;0,212;-0,623
147;0,787;0,328;1,193;-0,313;-0,026
148;-0,201;-0,779;-0,949;-0,486;-0,623
149;-0,641;0,210;-0,949;0,737;-0,623
150;-0,201;-0,366;-0,949;-0,486;-0,623
151;-0,201;1,147;1,193;-0,486;-0,145
152;0,334;1,147;0,407;0,039;-0,167
153;-1,724;1,147;0,780;0,212;-0,623
154;0,787;0,153;-0,493;-1,011;1,138
155;-3,031;1,147;-0,138;-0,135;-4,147
156;1,214;0,623;1,193;-0,486;0,660
157;0,239;-0,366;-0,120;1,435;-0,623
158;1,214;1,147;1,193;0,039;1,138
159;0,226;0,328;-0,493;-0,486;-0,188
160;-0,749;-0,779;-0,949;0,039;-0,623
161;-0,201;-0,779;-0,949;0,212;-0,623
162;-0,430;-3,118;-3,877;1,960;-1,562
163;0,666;1,147;0,377;1,262;-1,084
164;1,214;1,147;1,193;1,960;1,138
165;0,347;-0,254;-0,079;1,960;0,660
166;-0,628;-1,192;-0,949;-0,486;-0,145
167;-0,201;0,210;-0,576;0,737;-0,163
168;-0,201;-0,372;-0,949;0,737;-0,623
169;0,666;0,216;-0,949;0,737;0,272
170;1,214;1,147;1,193;-1,184;1,138
171;-0,201;-0,779;-0,949;-0,486;0,362
172;1,214;0,333;1,193;1,960;-1,059
173;-0,201;0,216;-0,049;0,737;1,138
174;0,666;1,147;-0,037;1,960;0,703
175;0,774;1,147;1,193;1,435;1,138
176;-0,201;-0,779;-0,037;-1,184;-0,623
177;-0,520;1,147;1,193;-1,709;1,138
178;-2,043;0,216;-0,422;-0,486;1,138
179;-0,201;-0,779;-0,949;0,737;-0,623
180;-0,641;-0,779;-0,049;0,212;-1,907
181;-1,935;-1,186;-0,949;1,960;-1,907
182;-1,603;-1,593;-1,362;1,262;0,315
183;1,214;1,147;1,193;-0,486;0,750
184;1,214;1,147;1,193;-1,709;1,138
185;0,239;-0,197;0,820;0,039;-0,623
186;-0,201;1,147;-0,949;0,737;1,138
187;-1,068;1,147;1,193;-0,486;1,138
188;1,214;1,147;1,193;-1,011;1,138
189;-0,309;0,041;0,407;1,435;-0,145
190;-0,201;-0,779;-0,949;0,737;-0,623
191;0,118;-0,604;0,820;-1,011;-1,011
192;0,666;1,147;1,193;1,960;1,138
193;1,214;1,147;1,193;-0,486;1,138
194;1,214;1,147;0,281;0,564;1,138
195;1,214;-0,197;0,780;-0,486;-0,623
196;-0,430;0,735;-0,589;-1,011;0,362
197;1,214;1,147;1,193;-0,486;0,290
198;0,226;0,098;-0,079;-1,184;0,315
199;-0,201;1,147;1,193;1,960;1,138
200;1,214;-0,366;0,323;0,737;1,138
201;0,666;1,147;0,780;-1,011;1,138
202;1,214;-0,197;-0,037;0,039;-0,145
203;0,239;-0,779;-0,049;0,564;-1,084
204;-0,201;1,147;0,281;1,435;0,703
205;0,334;1,147;1,193;0,564;1,138
206;-0,201;1,147;1,193;0,737;1,138
207;-0,201;-0,667;-0,037;-0,486;-0,188
208;1,214;1,147;1,193;-0,659;1,138
209;-0,641;-1,361;-0,493;0,039;-0,623
210;1,214;1,147;1,193;-0,486;1,138
211;1,214;1,147;0,407;1,960;0,200
212;-0,080;-0,667;-1,848;0,564;-1,447
213;-1,068;-0,779;-0,949;0,737;-0,623
214;0,347;1,147;0,820;0,737;0,660
215;0,239;0,565;-0,132;1,435;0,200
216;1,214;1,147;1,193;-1,709;1,138
217;-0,201;-0,779;-0,949;0,039;-0,623
218;-0,641;-1,192;-1,392;0,737;-0,623
219;0,666;-1,074;-1,321;1,960;-0,145
220;-1,176;-1,186;-1,321;0,737;-0,623
221;1,214;1,147;0,820;-1,709;1,138
222;-0,201;-0,779;-0,949;-0,486;-0,623
223;0,666;-1,074;-0,037;-0,486;1,138
224;-1,616;-0,779;-0,949;0,212;-0,623
225;-0,201;-1,599;0,780;1,262;-0,623
226;1,214;1,147;0,820;-1,184;1,138
227;-1,189;0,210;1,193;1,435;-0,623
228;-0,201;-1,599;-0,949;0,039;-1,472
229;-2,056;1,147;0,820;0,737;-0,623
230;-3,031;1,147;-0,949;-0,486;1,138
231;-1,068;1,147;0,749;-1,709;1,138
232;-0,201;-0,779;-0,949;-0,486;-0,145
233;1,214;-0,091;1,193;1,262;1,138
234;-1,189;-0,779;-0,949;0,737;-0,623
235;0,774;1,147;1,193;1,262;1,138
236;-0,201;0,735;0,820;0,737;-0,145
237;0,226;-1,192;-0,949;1,262;-0,623
238;-0,201;-1,599;-0,949;-0,486;-0,623
239;-0,201;-0,779;-0,120;-0,486;-0,623
